epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,89406.5,1.28807,1.64703,1.29077,0.58817,0.44848,0.47694,0.33299,1.16577,1.2929,1.18755,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,90443.7,1.2884,1.64686,1.29098,0.59223,0.44502,0.47714,0.33315,1.16552,1.29194,1.18721,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,91486.1,1.28818,1.64468,1.29116,0.59949,0.44369,0.47755,0.33365,1.1649,1.29066,1.18671,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,92523.9,1.29009,1.64824,1.2918,0.60442,0.43871,0.47742,0.33355,1.16447,1.29111,1.18627,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,93564.0,1.28718,1.64427,1.2893,0.60191,0.44056,0.47774,0.33375,1.16461,1.29079,1.18583,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,94603.4,1.28645,1.64478,1.29079,0.58951,0.44546,0.4786,0.33412,1.16493,1.29036,1.18616,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,95641.0,1.28697,1.6453,1.29194,0.60055,0.44141,0.47873,0.33444,1.16504,1.28909,1.18622,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,96676.3,1.28734,1.64477,1.29092,0.59468,0.44523,0.47834,0.33398,1.16455,1.28839,1.18535,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,97710.8,1.28776,1.64078,1.28974,0.60019,0.44178,0.47856,0.33419,1.16438,1.28759,1.18492,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,98748.4,1.28634,1.64269,1.28878,0.59847,0.44342,0.47881,0.33418,1.16463,1.2877,1.18472,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,99780.3,1.28626,1.64202,1.28971,0.60451,0.44059,0.4791,0.33462,1.16374,1.28755,1.18403,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,100817.0,1.28584,1.64024,1.28968,0.60475,0.44177,0.47922,0.33507,1.1637,1.28641,1.1844,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
